LETO;STATISTICNA_REGIJA;SPOL;STAROST;PLACE
2012;Obalno-kraška;moški;65 ali več;3602
2012;Obalno-kraška;ženske;65 ali več;3123
2012;Osrednjeslovenska;moški;15-24;1051
2012;Osrednjeslovenska;ženske;15-24;1005
2012;Osrednjeslovenska;moški;25-34;1507
2012;Osrednjeslovenska;ženske;25-34;1436
2012;Osrednjeslovenska;moški;35-44;1948
2012;Osrednjeslovenska;ženske;35-44;1804
2012;Osrednjeslovenska;moški;45-54;1929
2012;Osrednjeslovenska;ženske;45-54;1815
2012;Osrednjeslovenska;moški;55-64;2167
2012;Osrednjeslovenska;ženske;55-64;2187
2012;Osrednjeslovenska;moški;65 ali več;4108
2012;Osrednjeslovenska;ženske;65 ali več;3612
2012;Podravska;moški;15-24;1009
2012;Podravska;ženske;15-24;959
2012;Podravska;moški;25-34;1323
2012;Podravska;ženske;25-34;1272
2012;Podravska;moški;35-44;1600
2012;Podravska;ženske;35-44;1461
2012;Podravska;moški;45-54;1622
2012;Podravska;ženske;45-54;1528
2012;Podravska;moški;55-64;1821
2012;Podravska;ženske;55-64;1879
2012;Podravska;moški;65 ali več;3976
2012;Podravska;ženske;65 ali več;4028
2012;Pomurska;moški;15-24;996
2012;Pomurska;ženske;15-24;938
2012;Pomurska;moški;25-34;1264
2012;Pomurska;ženske;25-34;1226
2012;Pomurska;moški;35-44;1454
2012;Pomurska;ženske;35-44;1352
2012;Pomurska;moški;45-54;1510
2012;Pomurska;ženske;45-54;1426
2012;Pomurska;moški;55-64;1653
2012;Pomurska;ženske;55-64;1779
2012;Posavska;moški;15-24;1101
2012;Posavska;ženske;15-24;1005
2012;Posavska;moški;25-34;1371
2012;Posavska;ženske;25-34;1291
2012;Posavska;moški;35-44;1555
2012;Posavska;ženske;35-44;1438
2012;Posavska;moški;45-54;1620
2012;Posavska;ženske;45-54;1496
2012;Posavska;moški;55-64;1927
2012;Posavska;ženske;55-64;1862
2012;Posavska;moški;65 ali več;3714
2012;Primorsko-notranjska;moški;15-24;1043
2012;Primorsko-notranjska;ženske;15-24;1016
2012;Primorsko-notranjska;moški;25-34;1317
2012;Primorsko-notranjska;ženske;25-34;1281
2012;Primorsko-notranjska;moški;35-44;1557
2012;Primorsko-notranjska;ženske;35-44;1435
2012;Primorsko-notranjska;moški;45-54;1585
2012;Primorsko-notranjska;ženske;45-54;1492
2012;Primorsko-notranjska;moški;55-64;1744
2012;Primorsko-notranjska;ženske;55-64;1787
2012;Primorsko-notranjska;moški;65 ali več;3877
2012;Savinjska;moški;15-24;1081
2012;Savinjska;ženske;15-24;1019
2012;Savinjska;moški;25-34;1339
2012;Savinjska;ženske;25-34;1258
2012;Savinjska;moški;35-44;1585
2012;Savinjska;ženske;35-44;1420
2012;Savinjska;moški;45-54;1651
2012;Savinjska;ženske;45-54;1475
2012;Savinjska;moški;55-64;1819
2012;Savinjska;ženske;55-64;1823
2012;Savinjska;moški;65 ali več;3741
2012;Zasavska;moški;15-24;1020
