"";"LETO";"STATISTICNA_REGIJA";"SPOL";"STAROST";"PLACE"
"211";2014;"SLOVENIJA";"Skupaj";"Skupaj";1637
"212";2014;"SLOVENIJA";"Skupaj";"15-64";1634
"213";2014;"SLOVENIJA";"Skupaj";"15-24";1077
"214";2014;"SLOVENIJA";"Skupaj";"25-34";1379
"215";2014;"SLOVENIJA";"Skupaj";"35-44";1669
"216";2014;"SLOVENIJA";"Skupaj";"45-54";1700
"217";2014;"SLOVENIJA";"Skupaj";"55-64";1893
"218";2015;"SLOVENIJA";"Skupaj";"Skupaj";1652
"219";2015;"SLOVENIJA";"Skupaj";"15-64";1648
"220";2015;"SLOVENIJA";"Skupaj";"15-24";1096
"221";2015;"SLOVENIJA";"Skupaj";"25-34";1385
"222";2015;"SLOVENIJA";"Skupaj";"35-44";1683
"223";2015;"SLOVENIJA";"Skupaj";"45-54";1713
"224";2015;"SLOVENIJA";"Skupaj";"55-64";1890
"225";2016;"SLOVENIJA";"Skupaj";"Skupaj";1686
"226";2016;"SLOVENIJA";"Skupaj";"15-64";1681
"227";2016;"SLOVENIJA";"Skupaj";"15-24";1113
"228";2016;"SLOVENIJA";"Skupaj";"25-34";1404
"229";2016;"SLOVENIJA";"Skupaj";"35-44";1712
"230";2016;"SLOVENIJA";"Skupaj";"45-54";1756
"231";2016;"SLOVENIJA";"Skupaj";"55-64";1902
"232";2017;"SLOVENIJA";"Skupaj";"Skupaj";1722
"233";2017;"SLOVENIJA";"Skupaj";"15-64";1717
"234";2017;"SLOVENIJA";"Skupaj";"15-24";1144
"235";2017;"SLOVENIJA";"Skupaj";"25-34";1437
"236";2017;"SLOVENIJA";"Skupaj";"35-44";1742
"237";2017;"SLOVENIJA";"Skupaj";"45-54";1800
"238";2017;"SLOVENIJA";"Skupaj";"55-64";1918
"239";2018;"SLOVENIJA";"Skupaj";"Skupaj";1778
"240";2018;"SLOVENIJA";"Skupaj";"15-64";1773
"241";2018;"SLOVENIJA";"Skupaj";"15-24";1198
"242";2018;"SLOVENIJA";"Skupaj";"25-34";1500
"243";2018;"SLOVENIJA";"Skupaj";"35-44";1798
"244";2018;"SLOVENIJA";"Skupaj";"45-54";1866
"245";2018;"SLOVENIJA";"Skupaj";"55-64";1953
"246";2019;"SLOVENIJA";"Skupaj";"Skupaj";1851
"247";2019;"SLOVENIJA";"Skupaj";"15-64";1845
